=============================================================================================
Intra-Node Communication

Performance for Process Count: 2
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 3.199892756590414e-06		Ring Algorithm: 1.1172715295924479e-05
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 3.50057731705935e-06		Ring Algorithm: 1.1473399856393415e-05
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 4.101946437997222e-06		Ring Algorithm: 1.2074768977331288e-05
For message size: 2^10 	Recursive Doubling and Brucks Algorithm: 5.304684679872967e-06		Ring Algorithm: 1.3277507219207031e-05
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 3.518925806451612e-05		Ring Algorithm: 0.00013103225806451607
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 3.552651612903225e-05		Ring Algorithm: 0.00013136951612903222
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 3.620103225806451e-05		Ring Algorithm: 0.00013204403225806446
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 3.755006451612902e-05		Ring Algorithm: 0.000133393064516129
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 4.024812903225806e-05		Ring Algorithm: 0.00013609112903225802
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 4.5644258064516126e-05		Ring Algorithm: 0.00014148725806451608
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 5.643651612903227e-05		Ring Algorithm: 0.00015227951612903224
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 7.802103225806454e-05		Ring Algorithm: 0.0001738640322580645
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 0.00012119006451612909		Ring Algorithm: 0.00021703306451612903
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 0.00020752812903225817		Ring Algorithm: 0.00030337112903225816

Performance for Process Count: 32
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 3.6264376465514664e-06		Ring Algorithm: 2.2471290921341073e-05
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 3.6288650479510855e-06		Ring Algorithm: 2.2473718322740692e-05
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 3.6337198507503232e-06		Ring Algorithm: 2.247857312553993e-05
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 3.6434294563487995e-06		Ring Algorithm: 2.2488282731138407e-05
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 3.6628486675457517e-06		Ring Algorithm: 2.250770194233536e-05
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 3.7016870899396557e-06		Ring Algorithm: 2.254654036472926e-05
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 3.7793639347274645e-06		Ring Algorithm: 2.262421720951707e-05
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 3.934717624303081e-06		Ring Algorithm: 2.277957089909269e-05
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 4.245425003454316e-06		Ring Algorithm: 2.309027827824392e-05
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 4.866839761756783e-06		Ring Algorithm: 2.3711693036546388e-05
For message size: 2^10 	Recursive Doubling and Brucks Algorithm: 6.1096692783617185e-06		Ring Algorithm: 2.4954522553151325e-05
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 4.3913499999999985e-05		Ring Algorithm: 0.00027045149999999996
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 4.426199999999999e-05		Ring Algorithm: 0.00027079999999999997
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 4.495899999999999e-05		Ring Algorithm: 0.00027149699999999994
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 4.635299999999999e-05		Ring Algorithm: 0.00027289099999999993
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 4.914099999999999e-05		Ring Algorithm: 0.000275679
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 5.4717e-05		Ring Algorithm: 0.00028125499999999995
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 6.5869e-05		Ring Algorithm: 0.00029240699999999995
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 8.817300000000001e-05		Ring Algorithm: 0.00031471099999999996
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 0.00013278100000000006		Ring Algorithm: 0.000359319
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 0.00022199700000000012		Ring Algorithm: 0.00044853500000000007

Performance for Process Count: 64
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 4.351278847217313e-06		Ring Algorithm: 4.566499564194837e-05
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 4.353745400252411e-06		Ring Algorithm: 4.566746219498347e-05
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 4.3586785063226036e-06		Ring Algorithm: 4.567239530105366e-05
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 4.36854471846299e-06		Ring Algorithm: 4.568226151319405e-05
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 4.388277142743765e-06		Ring Algorithm: 4.570199393747483e-05
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 4.4277419913053125e-06		Ring Algorithm: 4.574145878603637e-05
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 4.506671688428408e-06		Ring Algorithm: 4.5820388483159465e-05
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 4.6645310826746e-06		Ring Algorithm: 4.597824787740566e-05
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 4.980249871166983e-06		Ring Algorithm: 4.629396666589804e-05
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 5.611687448151749e-06		Ring Algorithm: 4.692540424288281e-05
For message size: 2^10 	Recursive Doubling and Brucks Algorithm: 6.87456260212128e-06		Ring Algorithm: 4.818827939685234e-05
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 5.263212096774193e-05		Ring Algorithm: 0.0005492731209677418
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 5.2986241935483865e-05		Ring Algorithm: 0.0005496272419354837
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 5.369448387096773e-05		Ring Algorithm: 0.0005503354838709676
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 5.5110967741935475e-05		Ring Algorithm: 0.0005517519677419353
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 5.794393548387096e-05		Ring Algorithm: 0.0005545849354838708
