=============================================================================================
Intra-Node Communication

Performance for Process Count: 2
For message size: 2^18 	Recursive Doubling: 0.00016427990322580654		Binomial Tree Algorithm: 0.0003285598064516131		Rabenseifner's Algorithm: 0.00013286019354838714
For message size: 2^19 	Recursive Doubling: 0.0003024208064516131		Binomial Tree Algorithm: 0.0006048416129032262		Rabenseifner's Algorithm: 0.00021344238709677428
For message size: 2^20 	Recursive Doubling: 0.0005787026129032262		Binomial Tree Algorithm: 0.0011574052258064523		Rabenseifner's Algorithm: 0.0003746067741935486

Performance for Process Count: 16
For message size: 2^0 	Recursive Doubling: 2.909231014803776e-06		Binomial Tree Algorithm: 5.818462029607552e-06		Rabenseifner's Algorithm: 5.803114588500283e-06
For message size: 2^1 	Recursive Doubling: 2.9192538334860735e-06		Binomial Tree Algorithm: 5.838507666972147e-06		Rabenseifner's Algorithm: 5.80781278475761e-06
For message size: 2^2 	Recursive Doubling: 2.939299470850669e-06		Binomial Tree Algorithm: 5.878598941701338e-06		Rabenseifner's Algorithm: 5.817209177272264e-06
For message size: 2^3 	Recursive Doubling: 2.979390745579861e-06		Binomial Tree Algorithm: 5.958781491159722e-06		Rabenseifner's Algorithm: 5.836001962301572e-06
For message size: 2^4 	Recursive Doubling: 3.0595732950382437e-06		Binomial Tree Algorithm: 6.119146590076487e-06		Rabenseifner's Algorithm: 5.87358753236019e-06
For message size: 2^5 	Recursive Doubling: 3.21993839395501e-06		Binomial Tree Algorithm: 6.43987678791002e-06		Rabenseifner's Algorithm: 5.948758672477424e-06
For message size: 2^6 	Recursive Doubling: 3.5406685917885414e-06		Binomial Tree Algorithm: 7.081337183577083e-06		Rabenseifner's Algorithm: 6.099100952711892e-06
For message size: 2^7 	Recursive Doubling: 4.182128987455605e-06		Binomial Tree Algorithm: 8.36425797491121e-06		Rabenseifner's Algorithm: 6.399785513180828e-06
For message size: 2^8 	Recursive Doubling: 5.465049778789732e-06		Binomial Tree Algorithm: 1.0930099557579464e-05		Rabenseifner's Algorithm: 7.0011546341187e-06
For message size: 2^9 	Recursive Doubling: 8.030891361457988e-06		Binomial Tree Algorithm: 1.6061782722915976e-05		Rabenseifner's Algorithm: 8.203892875994445e-06
For message size: 2^10 	Recursive Doubling: 1.3162574526794497e-05		Binomial Tree Algorithm: 2.6325149053588993e-05		Rabenseifner's Algorithm: 1.0609369359745934e-05
For message size: 2^11 	Recursive Doubling: 3.6290967741935476e-05		Binomial Tree Algorithm: 7.258193548387095e-05		Rabenseifner's Algorithm: 7.037851612903224e-05
For message size: 2^12 	Recursive Doubling: 3.772993548387096e-05		Binomial Tree Algorithm: 7.545987096774192e-05		Rabenseifner's Algorithm: 7.10530322580645e-05
For message size: 2^13 	Recursive Doubling: 4.060787096774193e-05		Binomial Tree Algorithm: 8.121574193548386e-05		Rabenseifner's Algorithm: 7.240206451612901e-05
For message size: 2^14 	Recursive Doubling: 4.636374193548387e-05		Binomial Tree Algorithm: 9.272748387096774e-05		Rabenseifner's Algorithm: 7.510012903225805e-05
For message size: 2^15 	Recursive Doubling: 5.7875483870967746e-05		Binomial Tree Algorithm: 0.00011575096774193549		Rabenseifner's Algorithm: 8.049625806451612e-05
For message size: 2^16 	Recursive Doubling: 8.089896774193551e-05		Binomial Tree Algorithm: 0.00016179793548387101		Rabenseifner's Algorithm: 9.128851612903225e-05
For message size: 2^17 	Recursive Doubling: 0.00012694593548387103		Binomial Tree Algorithm: 0.00025389187096774206		Rabenseifner's Algorithm: 0.00011287303225806453
For message size: 2^18 	Recursive Doubling: 0.00021903987096774205		Binomial Tree Algorithm: 0.0004380797419354841		Rabenseifner's Algorithm: 0.00015604206451612907
For message size: 2^19 	Recursive Doubling: 0.0004032277419354841		Binomial Tree Algorithm: 0.0008064554838709682		Rabenseifner's Algorithm: 0.00024238012903225818
